Tanggal;Jumlah Kasus Konfirmasi
01/04/2021;3
02/04/2021;3
03/04/2021;3
04/04/2021;3
05/04/2021;3
06/04/2021;2
07/04/2021;2
08/04/2021;2
09/04/2021;2
10/04/2021;1
11/04/2021;1
12/04/2021;1
13/04/2021;1
14/04/2021;2
15/04/2021;2
16/04/2021;2
17/04/2021;2
18/04/2021;2
19/04/2021;4
20/04/2021;2
21/04/2021;2
22/04/2021;2
23/04/2021;2
24/04/2021;2
25/04/2021;2
26/04/2021;1
27/04/2021;1
28/04/2021;1
29/04/2021;1
30/04/2021;1
01/05/2021;1
02/05/2021;1
03/05/2021;2
04/05/2021;2
05/05/2021;2
06/05/2021;2
07/05/2021;1
08/05/2021;1
